value,name
0,Nop
1,PushVar
2,PushConst
3,PushInt
4,PushBool
5,PushUndef
6,PushNull
7,PushLoc
8,PushRef
9,LoadVar
10,LoadLoc
11,AssignRef
12,Add
13,Sub
14,Mul
15,Div
16,Mod
17,Neg
18,Equals
19,Less
20,Greater
21,LessOrEqual
22,GreaterOrEqual
23,NotEqual
24,Not
25,And
26,Or
27,CallFunc
28,CallProc
29,ArgNum
30,PushDefaultArg
31,ResolveProp
32,ResolveMethodProc
33,ResolveMethodFunc
34,Jmp
35,JmpFalse
36,PushIndexed
37,Return
38,JmpCounter
39,Inc
40,NewInstance
41,NewFunc
42,PushIterator
43,IteratorNext
44,StopIterator
45,BeginTry
46,EndTry
47,RaiseException
48,LineNum
49,MakeRawValue
50,MakeBool
51,PushTmp
52,PopTmp
53,Execute
54,AddHandler
55,RemoveHandler
56,ExitTry
57,Eval
58,Bool
59,Number
60,Str
61,Date
62,Type
63,ValType
64,StrLen
65,TrimL
66,TrimR
67,TrimLR
68,Left
69,Right
70,Mid
71,StrPos
72,UCase
73,LCase
74,TCase
75,Chr
76,ChrCode
77,EmptyStr
78,StrReplace
79,StrGetLine
80,StrLineCount
81,StrEntryCount
82,Year
83,Month
84,Day
85,Hour
86,Minute
87,Second
88,BegOfWeek
89,BegOfYear
90,BegOfMonth
91,BegOfDay
92,BegOfHour
93,BegOfMinute
94,BegOfQuarter
95,EndOfWeek
96,EndOfYear
97,EndOfMonth
98,EndOfDay
99,EndOfHour
100,EndOfMinute
101,EndOfQuarter
102,WeekOfYear
103,DayOfYear
104,DayOfWeek
105,AddMonth
106,CurrentDate
107,Integer
108,Round
109,Log
110,Log10
111,Sin
112,Cos
113,Tan
114,ASin
115,ACos
116,ATan
117,Exp
118,Pow
119,Sqrt
120,Min
121,Max
122,Format
123,ExceptionInfo
124,ExceptionDescr
125,ModuleInfo
